Arquivo,Formato,Tamanho original (bits),Tamanho comprimido (bits),Tamanho Dicionário,Qtd de bits por código,Taxa de compressão,Tempo de compressão (ms),Tempo Relativo (ms/kB)
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.558438,3.7164017960093636
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.950084,3.761106455913499
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,33.197668,3.7893670752424478
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,33.330414,3.8045194444320587
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,37.295989,4.257172303645079
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,32.326476,3.689924358934344
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,33.086592,3.7766882407758335
ex (3).txt,ascii,71768,40092,3596,12,1.7900828095380625,34.936442,3.9878404423141234
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,427.18003,48.76071237543194
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,412.447115,47.079015244677294
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,413.860763,47.24037691583993
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,415.217193,47.39520740519452
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,435.168991,49.6726169639951
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,432.295461,49.34461621491472
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,410.740338,46.88419419373537
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,416.657192,47.55957692654108
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,419.014606,47.82866531534946
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,411.703529,46.994138189276555
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,435.183302,49.67425050139338
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,409.441393,46.73592536305875
ex (3).txt,binary,71768,77142,5935,13,0.9303362629955148,418.091662,47.72331533697469
